username,post_text,posted_date,retweets,favorites
bilguunin,"Нөгөө Оросын троллууд гэж боддог бсан, дайн сурталчилдаг, агуу Путин Монголыг аварна гэж сурталчилдаг хулхи аккаунтууд бүгд Данхыг дэмжчихсэн, агуу данх Монголыг аварна гэчихсэн язганалдаж байх юм.",2026-03-12 01:16:10+00:00,49,138
Mongol_Tulga,УИХ-Н гишүүнийг эргүүлэн татах хууль Ерөнхийлөгч өргөн барьсан нь намайг энэ ярилцлагад оруулж бна гэнээ. Хуралдаа суусан ирц нь 0000. Данх эргүүлэн татагдах болзлоо аль хэдийн хангасан.,2026-03-11 14:05:10+00:00,55,133
bilguunin,"Эх орноосоо урвагч харийн бузар данх, үзэл бодлоо илэрхийлсэн асар олон залуусыг махны машинаар хэрчиж ялтан болгож, шоронд хорьсон. Өөрийнх нь эсрэг хэн бүгдийг төрийн хүчирхийллийн аппаратаар машиндаж, өөрийгөө Лукашенко болчихлоо, Монгол дараагийн Беларус болчихлоо гэж сэтгэн, https://t.co/TAgPTG1sFw",2026-03-11 14:47:54+00:00,39,133
GaridaMunkhBat,"Пүү пязда данх чинь манай улсын ЕС биш витнамын ЕС бсын бнашд

Энэ комментуудыг нь хардаа их л сайн бэлджээ хаха https://t.co/1V91i2oHOB",2026-03-11 12:35:56+00:00,67,133
b99119999,"Данх сандайлж2 эвдээд явжээ. 
Монгол улсыг яг ингэсэн дээ. https://t.co/yNEjFszuHU",2026-03-12 08:59:09+00:00,60,130
sena9318,Казахстаны онгоц буудал энэ тэр яая гээд байгаамбээ. Адил гараанаас л бид уг нь эхэлсэн. Бидний нэгэнт хаяад хол хөгжжээ. Бид тэгэхэд Данх Хэрээ Жонхуу нараасаа ч салж чадахгүй Тв-н хойморт залчихсан тэрийгээ тойроод хэрэлдэцгээж байх https://t.co/bSLxqKFRdJ,2026-03-12 04:09:18+00:00,53,121
batdorj911,Данх гэж ямар мал вэ гэдгийг бид харж байна. Ийм амьсгалаар улсаа удирдуулахаар сөнөлгүй яахав дээ,2026-03-11 13:01:33+00:00,34,120
Eenee251221,"Сайшаалтай тал нь данхын нийгэмд цацаж бгаа дуулиантай хэргүүдийг хүмүүс мэддэг болж, данхын угаадасны хэдэн сэтгүүлч хиамчидыг ялгаж салгадаг болж, шившгийн данх ам нээгээд л хүүхэд нохойн доог болдог болжээ😆",2026-03-11 13:03:10+00:00,36,116
bilguunin,Данх: Х.Баттулга Монголыг станы улс болгоё гэдэг байсан. https://t.co/ANIESZJZYZ,2026-03-11 16:20:39+00:00,57,105
Uyanga_ts,"Энэ юу хэлж бна вэ гэхээр Жонхуу Монгол төрийг гэмт хэргийн картель болгочихсон, өөрийгөө хаан гэж бодоод мөлхөж, сөхрүүлж, кайф авдаг гаж донтон бсныг дэлгэж. Тэр үед Данх хажууд нь маасайгаад гутлыг нь долоогоод хэвтэж бдаг бжээ https://t.co/uaRmbx6ELH",2026-03-12 05:48:11+00:00,45,89
KharKheree53503,"Данх: Ерөнхийлөгчийн хөл мөлийг үнсэх энүүхэнд ш дээ, өрөөнд нь өрөөлдөөд л мөлхөөд л орно ш дээ

Хөтлөгч: Та үнэн ярьж байгаа биз, Жин Зи үеийнхэн бол ойлгохгүй ш дээ https://t.co/unzPe067aF",2026-03-11 16:42:33+00:00,36,79
Uyanga_ts,Бодь өөрийгөө шаалгах гэж Энхбаярт 500 мянган доллар өгсиймуу эргүү хонгио Данх аа?! 😂😂😂 https://t.co/hPQ2Co8xQd,2026-03-11 15:14:35+00:00,22,78
KharKheree53503,Данх: Аюурсайхан сая доллар авсан ч үүнийгээ хэргээсээ хасуулсан https://t.co/EEMmhwPdq6,2026-03-11 15:18:09+00:00,55,75
bilguunin,"Эхнэр бид хоёр энэний яриаг сонсож байгаад өчигдөр энэ хэсэг дээр нь татаж унатлаа инээлдээд. Комеди шоу үзсэн юм шиг хөгжилтэй байлаа.

Данх өгүүлрүүн: 2021 оны ерөнхийлөгчийн сонгуулийн өмнө АН, МАН хоёр нам ерөнхийлөгчийн сонгуульд хамтран оролцохоор болсон. Хүрэлсүхийн https://t.co/okJWfD6OF4",2026-03-12 02:26:45+00:00,15,70
KhBaynkhangai,LVгийн гутал шаатлаа баяжсан данх жагсаал хийнэ би Шу5 лидер байсан гэнэ. Ша5 лойдор байснаа одоо болтол мэдрэхгүй л шааж байна. Энэ бүх гоншигнолтоо эрх баригч намын даргыг 5 жил байхдаа хийхгүй яасы? Бүх юмыг угсаралцаж өөрөө хажуу өрөө нууцаар угсарч байснаа мартдаг юм байхдаа https://t.co/CUmfGok7Vi,2026-03-12 01:51:56+00:00,26,67
Uyanga_ts,"Хэрээ зда, хажуунаас нь одоо 500 мянган доллар шаа! Амьсгаа гэж орил гээд зааварлаад нөгөө юу яриад бгаа нь ойлгогдохгуй хонгио Данх балай тэнэг, авцалдаагүй юм солиороод унав уу?",2026-03-11 15:31:09+00:00,17,62
Bazuulaa,"Өчигдөр данх ганц үнэн хэлсэн үг нь энэ байна. Б.Энхбаяр бол ийм л амьтан...👇‼️

Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️

2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир https://t.co/fUSZ3YqrFu",2026-03-12 03:12:01+00:00,34,61
Ariunq,"Оюун-Эрдэнэ аймар ноцтой ноцтой зүйл ярьж бхд хэн ч ярианд нь анхаарахгүй нөгөө л нэг үлэг болсон Данх шүгэлдсээр, галч үлээсээр блаблабла хоосон хов живээ ярьсаар ллл😂🤣👏🏻👏🏻👏🏻‼️
Монголын улс төр ийм шившгийн бохир бн, залуу улс төрчид тэмцэж эсэргүүцэх гэж үзээд хэн ч биш https://t.co/v0s3JUjBpV",2026-03-11 16:32:40+00:00,33,61
Aldar51,"Оюук Хүүкийн эсрэг дайн зарлаж байна, бас ч үндэслэлгүй юм бол ярихгүй байна
Парламентын засаглал үлдэх эсэх нь Данх няцлуулахгүйн тулд энийг хийж чадах эсэхээс шалтгаалах нь 
Хорвоо их даажинтай юм байна",2026-03-11 14:05:37+00:00,26,60
gegeeneegegeen,Хүү нь Англи улсаас 1 сарын дараа ирж мэдүүлэг өгөө биз дээ...АТГ хариун дээр нь боогоогүй ш дээ. Т1түүлэх гэж үзэж бна данх 👇 https://t.co/iILIsysm2Z,2026-03-11 12:55:26+00:00,18,59
misheeleva,Засрахгүй худалч юм бнаа энэ Данх чинь ццц,2026-03-11 12:59:12+00:00,12,59
Batbold10K,"Лхагвын тойм нэвтрүүлэг.

Хөтлөгч Лхагва: Одоо гол юмаа ер нь ярихгүй юм уу? Тойроод л зугтаад л байх юм уу? Амарбаясгалан даргыг хөөсөн шийдвэр Ерөнхийлөгч юм уу, эсвэл тэр хажуудах хүмүүс юм уу?
Зочин Данх:  Ерөнхийлөгч яаг хажууд нь байж байсан үгүйг хараагүй болохоор мэдэхгүй https://t.co/B645RFPaa6",2026-03-11 13:00:31+00:00,27,57
bilguunin,"Бузар данх Монголын ардчилал, парламентыг бүрэн устгачихсан байсныг Монголчууд мартаж болохгүй! Тэр өөрийгөө Лукашенко болчихлоо, дахиж хэзээ ч буухгүй гэж андуурч энэ бүх гэмт хэргүүдээ үйлдсэн. Данхыг унагаснаар Монгол улсад парламентын ардчилал эрх чөлөө сэргэж Монгол Беларус https://t.co/Yj7RxuTWxL",2026-03-12 08:22:21+00:00,31,52
XGerlee,Муу Хүүкийг маань бараг оршуулчлаа даа муу данх https://t.co/R0cWOfiwLp,2026-03-12 03:48:58+00:00,14,50
tukom88,"Монголын түүхэнд хамммммгийн өндөр төсөв зарцуулж 5 жил суучаад

Дэлбэрэх дөхсөн Цахилгаан станцынхаа зуухыг сольчоогүй л ЕС шүү Данх!!

Өөрөө болон гэр бүл нь л хагартлаа баяжсан!!

Өөр ярих юм ер нь байгаа юу?? 🫣😡",2026-03-12 03:14:53+00:00,22,48
Enkhee_220_90,"Монгол хэл бичгийн анги төгссөн хүний хувьд хэлэхэд, данх үнэхээр замбараагүй ярьдаг~~~

Ойлгоё гээд сонссон ч ойлгогдохооргүй яриж байна лээ🥴
Сэтгэцийн хувьд эрүүл биш санагддаг. https://t.co/gHdNwQAEQU",2026-03-12 14:21:02+00:00,17,47
Odbayar1206,"Монгол улсын түүхэнд анх удаа Парламентын дархлааг устгаж нураах гадны санхүүжилттэй жагсаалыг гардан хийсэн хүн нь данх.

Парламентын дархлааг устгах хуулийн төслийг батлахгүй бол чуулганд суухгүй гэж шантаажилсан хүн нь данх.

Парламентын спикерлүү хутгатай дайрч, өрөөнөөс нь https://t.co/KEvY8j5bap",2026-03-12 14:56:38+00:00,31,47
ShinebayarTny,Цоорхой Данх бичлэг эвлүүлэггүйгээр ШҮГЭЛДЭЖ чадахгүй😂,2026-03-11 12:13:33+00:00,7,46
AltanOd_,"Данх ганц үнэн л юм хэллээ. Жэнкогүй Хүрэлсүх, Хүрэлсэхгүй Жэнко гэж байхгүй шүү. Ерөнхийлөгч болохоор нь зарим хүмүүс хэлэхээс айгаад бх шиг энэ хоёр бүх юман дээр хамтдаа бсан шүү.",2026-03-11 16:41:59+00:00,20,45
GaridaMunkhBat,"Энэ данх лалар парламентын дархлаа нтр гэж яриад бхын

Өөрөө засаглаж бх хугацаанд их хурлаасаа том засагтай бсан биздээ

Их хурлыг шахаж ковидын үеийн хууль гээч юм батлуулж төрийг бүхэлд нь атгандаа аваа биздээ",2026-03-11 13:24:35+00:00,21,41
JaahanJaajaa,"Данх ямар хүн байх нь хамаа алга.
Тогтолцооны гажуудлын тухай ярьж байхад тэрийн ойлгочих ухаан алга уу пзда-да",2026-03-12 05:41:34+00:00,15,41
sakuna_mn,Хэрээтэй нийлж хүүхдийн фонд гэж мөнгө хуусан ч билүү? Кино урлагийн дэмжих сангаас мөнгө аваад Удвал агсны тухай кино шиг юм хийгээд чуулганы хуралдаан дээр постер шиг юмаа битүү тавиад Данх зүлгэж гүйж бгд соёлын гавьяат зүтгэлтэн цол авсан хүнд ичих нүүр алга уу https://t.co/SYcMJngLKd,2026-03-11 11:40:22+00:00,14,40
shagai_r9,"Данх: хүү маань өөрийнхөө мөнгөөр бэлэг авч өгсөн
Лхагва: Таны хэлсэн үг АТГ-д өгсөн мэдүүлэг зөрөөд байна
Данх: Шалгагдаж байгаа гэшш 😂 https://t.co/5E6ZmwmH7F",2026-03-11 13:04:51+00:00,16,37
2Sandui,Энэ олон өлөн лайвчидыг яая гэж байхад Данх чи дутаа. https://t.co/0f1BhTP2vx,2026-03-12 03:29:44+00:00,7,35
Odbayar1206,"Нөгөө худал ярих домогчлох сэтгэцийн эмгэгтэй дарангуйлагч данх нь хагас өдрийн турш хэдэн малынхаа хоёр циймэрийг солийтол тавилттай ярилцлага цацаад тархины атираа тэнийж, нугалаа нь гөлчийтөл угааж сойздоод reset хийгээд хаясан уу? Өөрийн угсралцсан махны машиндаа өөрөө https://t.co/lKK9CsWINI https://t.co/DyXIp0IcZu",2026-03-12 07:44:02+00:00,18,35
KhBaynkhangai,Магнай дээрээ данхыг залаад гөлчийтөл хоосон данх зүлгэж байна даа погдгор донх. @AOtgonbaatar https://t.co/IigEBn55IK,2026-03-12 06:20:34+00:00,13,34
o_purevdorj123,Вьетнамын ерөнхий сайд асан Бэрхийн Данхмаа ярилцлагыг вьетнамчууд олноороо үзэж лэмжиж байна даа. Харин Монголчуудад энэ данх хамаагүй юм байна. 😜😂 https://t.co/vE92qLaXZq,2026-03-11 14:05:25+00:00,15,34
uranburaak,Данх ярих ухаан дутмаг болхоор шууд ярилцлаганд ордоггүй байсан. Лхавгын тоймоор ээрч муураад элийрч балайраад байгаа нь угаасаа л ийм маланхойлогынх шүү дэй,2026-03-11 15:18:50+00:00,6,34
gegeeneegegeen,Хэрээ амундраа гадагшаа зугтаасан гэнэ...үнэн бол мэргэшсэн чекист Хурцыг  явуулж бариулаач. Дор нь янзлаад бариад ирэх байх шүү...бас жонхуу данх бас оргоод Хурц бариад л...гоё кино кино 🤣 https://t.co/XPhK2RAXle,2026-03-11 12:03:29+00:00,14,33
XGerlee,тэнэг гэдэг үгэнд ч тэнэг санагдаж бгаа бх даа тэр муу цулцгар данх цулайсан бурзайсан баян цатгалан нофш.. Монголчуудын хөгжлийг хулгайлсан нофш тансаглалаа тайлбарлаж чадаагүй л бгаа шт.,2026-03-11 14:37:55+00:00,9,33
mandaa_k8,МАНАН гэдэг чинь Женко+Данх болсоон. Хонгил гэдэг чинь Жеэко+Данх. Хүүк нь шуналтай  ч эднийгээ бодвол эх орноо боддог болохоор зогсох цэгээ хатгасан. Энэ хэд нь боож үхэх гээд байгаа.,2026-03-11 17:48:47+00:00,9,32
SaruulhanlA,Данх ч бас дарга харахаараа...👇👇👇 https://t.co/mpGYSycNTx https://t.co/u8yJgXQjP2,2026-03-12 09:53:52+00:00,18,32
OneginYo,Данх оролцсон ярилцлага дундуур хүнс комплексийн ХИАМны реклам гаргадаг нь зориуд уу? Рекламанд ах нь хэмжиж хэмжиж хувааснаа өөртөө томыг авчихдаг нь ёжлол уу?,2026-03-11 14:45:03+00:00,4,31
JaahanJaajaa,"Данх хичнээн муу 9 байсан байж болно, гэхдээ л 32,33 дахь ерөнхий сайд болж чадсан л бн даа.
Зарим нэг чацга алдах гээд бгаа баагийнуудад хэлэхэд.",2026-03-11 17:19:41+00:00,6,31
misheeleva,"Өглөөний мэнд 🥰
Данх үлгэр яриад унтуулцан бн шдэ 😂 
Юу болсон бэ цаад чинь ?",2026-03-11 22:56:15+00:00,10,30
XGerlee,Ярилцах чадваргүй байж talk show-нд орж буй данх 😂😂😂👇👇👇 https://t.co/9crQyvBma8,2026-03-11 11:58:17+00:00,2,26
Oscaruniform01,"Данх ёстой хошного царайлж байна. ""Цээжилснээ мартвал уншиж санана"" хэдэн цаастай ирчихжээ. Хуудсаа андуурчих вий дээ. 😂🤪",2026-03-11 14:07:01+00:00,9,26
SaruulhanlA,Данх тоёр 2лаа цуг Лхагвын тойм ор https://t.co/yFlwb2R7mc,2026-03-11 15:40:01+00:00,4,25
SaruulhanlA,"2лаа л еөктэйгөө өсуудалтай бсан.. Хүүк данхыг ална тална гэж сүрдүүлээгүй , Сайханбилэг ч жонхууд өширхөж данх шиг элий балай галзуу юм 5 6н цаг яриагүй…Сэтгүүлч үнэнг л бичиж 👇👇👇
https://t.co/K76fsqJocX",2026-03-12 11:07:02+00:00,7,25
rdavaadorj,Лхагвын тойм үзээд “Дундуур данх буцлахдаа дуу ихтэй” гэдэг яасан үнэн үг вэ гэдгийг л ойлголоо!,2026-03-11 15:23:55+00:00,4,23
Badralov,"Бусад улсад хувийн хэвшил нь гадаадаас том төсөл авч ирвэл баатар мэт үнэлдэг. Манайд харин эсрэгээрээ. Оросын 49-ийг Монгол руу шилжүүлсэн гавьяаг нь төр ""дээрэм""-ээр шагнав. Хувийн өмчийг хураах нь шударга ёс биш, харин тогтолцооны дампуурал юм. Тэрийг Данх үүсгэсэн! https://t.co/qdUX56mHff",2026-03-12 09:10:50+00:00,1,23
sakuna_mn,Вьетнамчуудын шүтээн данх ОЭ https://t.co/0ePCJ35aGR,2026-03-11 12:55:25+00:00,9,23
ChinzorigP,"Хүүк 2019 онд Данх, Амарбаясгалан хоёроос зөвшөөрөл авч байж ерөнхийлөгчид дэвших эрхээ авч байж. 
Данх дараа нь “картелийн систем” шиг “аллага” болохоос сэргийлж ерөнхийлөгчийг 6 жилээр 1 удаа сонгогдох өөрчлөлтийг хийсэн юм байнашд.
Мундаг хүн юмаа https://t.co/Vu30LaXQPT",2026-03-11 21:29:42+00:00,16,22
XGerlee,"Тэр бахархаад бгаа мөнгөнөөс нь иргэд бид лав хүртээгүй шүү, эсрэгээр тог цахилгаан бензин ч үгүй боллоо. Зайлж үз өгөр өвгөн данх https://t.co/Dy2oYBmnQn",2026-03-12 14:18:09+00:00,5,21
DorjgotovUlzii,@rdavaadorj Бүхэл бүтэн 5 жил есайд хийсэн хүн гэхэд арай ч дээ гэмээр юм ярьж бна даа занданшатарыг маанаг тэнэг гэж муулдаг ч хажууд нь бол үнэн дээ л шал өөр түвшний хүн бна халхын заяа их гэж дамраа намын дарга болсон бол данх эргэж ирэх байж,2026-03-11 16:37:38+00:00,6,21
SaruulhanlA,"СЭТГҮҮЛЧ: Амундра зугтчихсан байгаа⁉
Л.Данх: Тийм ээ‼
СЭТГҮҮЛЧ: Хэн зугтаалгасан юм⁉
Л.Данх: Би лав зугт гэж хэлээгүй‼😜😂🤣 https://t.co/7he7sUctki",2026-03-12 05:10:10+00:00,8,20
Gluut220,Заза данх амаргүй гэдэг үгээ амьсгаа гэдэг үгээр сольж дайсан нь Эбэ биш хуурандаа болсын бна өөр ч зүйлгүйдээ Тавгаагийн ярилцлага хихи,2026-03-11 22:26:34+00:00,1,18
XGerlee,Данх балай чинь шууд нэвтрүүлэг биш биздээ?,2026-03-11 11:53:55+00:00,0,17
gegeeneegegeen,"Данх Мандухай сэцэн хатан киног бүтэн үзэж тэмдэглэл хөтөлсөн болтой юмаа...исмэл яаж улс орныг хорлосоныг, яаж хүмүүсийг хооронд нь хагаруулдаг гэх мэтээр...энэ хүн исмэл болхоор шийджээ 👇 https://t.co/blyjxeCzwi",2026-03-12 05:01:36+00:00,4,17
2Sandui,"Энэ зүйлээ ахиад нэг мэдэгдэж ярилцлага өгөхгүй бол Данх дүү чинь нийгмийг хоёр талцуулаад эхэллээ, танкны үлгэр шиг үлгэр ярьж уу үгүй гэдгийг нээлттэй шууд хэлэх цаг нь болжээ. https://t.co/wpKJjrJTEB",2026-03-12 03:46:35+00:00,7,16
XGerlee,Данх хонгил хонгил гээл айдастай байх шиг зөв зүйл хийж бүтээн байгуулсан хулгай хийгээгүй бол юунаас айсын?????,2026-03-12 08:30:28+00:00,2,16
iimgai,"Хахаха нүүрэн дээр нь томоос том дэлгэц байхад л ""Хаана байгаан? Хаана бичлэг гарахын?"" гээд 😂😂😂 Энэ тэнэгийн ярилцлагыг яаж бүтэн үзэж барнаа сда #данх",2026-03-11 12:52:46+00:00,2,16
oyun0025,Данх эд нартай нийлээд хүчийг авсан. Дамдинням бас араас нь орсон байна удахгүй өөрийг нь шүүмжилсэн хүн бүр лүү энэ нохдоо тхььж эхэлнэ харж л байгаарай. Эртхэн ийм сайдаасаа салж авсан нь дээр байх https://t.co/v7mgzj2KyP,2026-03-12 12:01:43+00:00,5,15
ariuka_3839,"Данхын сүүлчийн орогнох байр АН-тай нийлж амь зогоох 5 цаг бурсны маргааш АН гарч ирж УИХ-ын гишүүнийг эргүүлэн татах хуулийг эсэргүүцэж байна. Анхнаас АН-гүй данх, данхгүй АН-байгаагүй 🤮🤮🤮Татагдахаасаа айж байна🫩🫩 https://t.co/Ut9bdmsPDt",2026-03-12 04:20:36+00:00,6,15
Uyanga_ts,Данх ЭБ-ыг хийх гэж бж өөрийгөө дүрсэлчихлээшд https://t.co/BG4dyy1jcV,2026-03-12 06:20:35+00:00,3,15
Huleg21,"Данх хэний морь унаж, газар дөхчөөд хэний суганы үс болсноо мартчихсан ярилцлага болжээ. Нэг их ухаантай юм ярих гээд ядчиж. 
Залуучууд сургамж авбал зохилтой мэт санагдав. https://t.co/jUaGGfkjXV",2026-03-12 01:53:39+00:00,3,15
2Sandui,"Таллаж мөлхөөд гэдэг шиг нь таллаж суугаад намжиртай гэдэг нь, данх хажууд нь сууж зөндөө хардаг байсан болж таарсан уу, аргагүй хуурай нойтон ахан дүүс гэж өөр юм да🤣 https://t.co/X1t6yfhQ1o",2026-03-12 08:37:55+00:00,8,14
Topaz1207,Данх Бодь 2 чинь нэг хөнжилд бдаг биздээ. Юун нэгнээ шалгуулах вэ👹 Нэг л заль гусчлаа шоо. За би юугаа мэдэхэв 💅,2026-03-12 04:14:50+00:00,0,14
Zloo28,Хүн сандраахаар юу ярьсын?Данх чинь харин сандраад элий балай юм яриад бнашд https://t.co/pGHHy8Z2Sw,2026-03-11 15:22:48+00:00,0,14
PNukhurlulbayar,Суудал хазгай.. Угаас хазгай данх юмаа https://t.co/KM0ufB9i2A,2026-03-11 12:47:49+00:00,3,14
SaruulhanlA,Данх л дарангуйлагч бсан https://t.co/TqBPxAhOyl,2026-03-12 12:38:10+00:00,5,14
BayasaaI,"80 оны Солонгосын тухай үзсэн чинь яг одоогийн бид нар шүү, 46 жилээр хойно явна даа. Данх мэтийн хулгайч нараас л болж байгаа юм.",2026-03-12 07:18:35+00:00,6,13
AgiimaaJanchiv1,Ернь данх ямарч мэдлэг боловсролгүй үгээ ч зөв сонсож ярьж чаддаггүйн бн.Сул үг ихтэй ойлгомжгүй оновчгүй хариулт тувт тавилттай ?т хариулттай явж бсн блхр цэгцтэй ярьж сураачгүй. Өөр'гөө том улс төрч гд бат итгэчихсэн бие'н хэлэмжтэй.Сууж бга бдл хөл нтр нь ямарч бүдүүлэг юмб🤮 https://t.co/CDEPPz1V8Z,2026-03-12 07:29:27+00:00,5,13
GaridaMunkhBat,"Битүү витнамууд данхыг долоожышд

Данх пязда чинь витнам бсын бишүү",2026-03-11 12:41:02+00:00,4,13
batdorj911,Данх цагтаа Монголын бүх намыг худалдаж авч байсан гөлөг өнөөдөр ардчилал ярмад сууж байх гэж,2026-03-11 13:43:05+00:00,0,12
bold2_b,"Данх шуугих үед нийгмийг эхлээд буцалгадаг
              Титэм үг",2026-03-11 12:44:38+00:00,3,12
KharKheree53503,Данх өөрийн унасан шалтгаанаа Ерөнхийлөгч Хүрэлсүхтэй холбоцон шаажийна🤮 https://t.co/YimPsXnbWP,2026-03-11 14:10:00+00:00,2,12
LTsogtbayar,Яс юман дээр. Номин л миний хүн шүү..Бусдыг мэдэхгүй...Юун олон их наяд..Go.Mонгол..Хэдэн Сургууль барьсан шүү...Бусдыг нь ёстой мэдэхгүй...Данх. донх..,2026-03-12 06:18:59+00:00,4,12
bold2_b,"Данх шүгэлдэхийг сонссоноос 
Дизель моторын дэргэд суусан нь дээр😂",2026-03-12 02:42:56+00:00,3,12
Undram,"Мөрөн голын усыг дуустал угаасан ч сэргэхгүй цуутай хулгайчид л болж дээ 

Женко, данх, херо, бусад загас жараахайнууд нь.",2026-03-12 06:09:45+00:00,3,11
tserenn,"Учрал дараагийн данх болохгүй гэх баталгаа ба уу? МАН системийг, түүгээр хөшигний цаана ашиг хүртэгчдийг илчлэхээс, хариуцлага тооцож хөөж явуулахаас нааш юу ч өөрчлөгдөхгүй.",2026-03-12 04:32:00+00:00,8,11
gandanbuu,@Narantuya_P Данх та 2 бол мэдлэгээрээ цэцэрлэгийнхэнтэй л өрсөлдвөл өрсөлдөнө шүү 😂,2026-03-11 16:03:57+00:00,0,11
ChinzillaMon,"Данх юу гэж худлаа шаахыг үзэх үү?
Бодонс vs Майнерс үзэх үү? 
Аль нь дээр бэ? https://t.co/vxb5MNhS9s",2026-03-11 12:31:39+00:00,2,11
XGerlee,Энэ данх 5-н сая төгрөгний гутал өмсөөд бнаштээ залуусаа. Надаас 1.8 саяд брэнд кэт аваарай😂 41 size шүү https://t.co/jhTya4q3FJ,2026-03-12 01:42:56+00:00,3,10
Gansukh0,"Эдгээр эрхэмүүд бол сайн ч , муу ч Монголын ээдрээтэй нийгэмд унаж босож томоор , ирээдүйг харж чадсан ,чадаж буй татвар төлөгчид , ажил олгогчид, эх орончид шүү
Өнөрөө, Нара мэт нь доромжилж, Данх мэт нь дээрэмддэг байж болох ч бид харин эднийг ойлгодог хамгаалдаг бх хэрэгтэй! https://t.co/tMgR79IJnn",2026-03-12 16:30:56+00:00,5,10
sakuna_mn,Данх М.Энхболд даргыг түгжилдсэн өнөөдөр Хүрэлсүх даргыг түгжилдэж байна түүний угаасаа ганц чаддаг ажил нь хов зөөх хутга аааах https://t.co/5m2gQrVcNa,2026-03-12 04:03:12+00:00,2,10
Sarnai_Sa,"1. Хүрэлсүх Занданшатар 2 одоо уулзаж суугаа байх.
2. жонхуу хэрээ данх 3ыг нэг мөсөн булшлах ёстой юм байна.
3. Энэ нэвтрүүлэг гардаг нь тун сайн юм боллоо. Өөрөө нүд рүүгээ хуруугаа хийж байна.
👇",2026-03-11 15:47:29+00:00,0,10
